,full_text,username
74,"@RandomWorldWar Ormas NATO LGBT beraninya cuman main keroyokan   Gedek juga sama hegemoni NATO ini, merasa paling superior 🗿",taufikherma
75,@kopparslagare_ LGBT  Lagi Ganteng Bini Tiga (keli alie kimoy),dutifuled_
76,@mrafly73 lgbt?,Marukyuu109_
77,LGBT LananGan BanTul 😎,maspai_jo
78,LGBT  Lelaki Garut Berusia Tujuh puluh tahun,kopparslagare_
79,"@SCrazy42631 @Haqiqatjou Lah yang dibahas pendukung ISIS di Indonesia malah ngomongi LGBT keliatan kan tololnya, nggak ada hubungannya, makanya kalau sekolah itu belajar jangan coli",badebening
80,"@vozeou @TxtdariHI Bacot boti, mau pendukung manapun Lgbt emang diluar nalar manusia dan ngelawan kodrat yang udah ditetapin sama yang diAtas.",Bijikudamantap
81,Lgbt,Sarvjeet8082
82,"@thedufresne @hnurwahid @jokowi @basuki_btp Baru2 ini habib Ali Al-Jufri juga dikafir2in sm mereka terutama krn sikap beliau yg tak setuju orang2 LGBT dibunuh, didehumanisasi, dikriminalisasi, dikucilkan &amp  gak boleh sholat/beribadah (salah 1 nya untuk mereka bertobat)  Bisa cek di postingannya @Ustadz_Ahong",8612fan
83,"Asli jadi pengen punya yang jerman, tapi pendukung lgbt males jadinya",Cepchenk0
84,"wota/ti koar koar homophobic tuh aneh, padahal penikmat konten lgbt juga.",definingsadness
85,LGBT  Lu Ganteng Banget Tmpk,lathifRajaIblis
86,Jewel x Sahara #jewel #sahara #coleelementary #LGBT https://t.co/QWcR5D7l2J,sepufnf40010196
87,@Deproleteriat2 better than trnny fggt,WamuuC
88,Gw bukan pendukung LGBT Tapi gw jg ga pernah menyerukan buat boikot atau apa Sebagai woti yang lu tau kondisi fandom lu banyak kaya gitu Ngapain sih caper upload kaya gitu narasinya jg gitu Hadeh cil cil,maspai_jo
89,@idextratime perintah presiden rusia kalo gerakan lgbt dianggep teroris,rosesareedeadd
90,@idextratime Lgbt jirrr,ayaharno
91,@zestromx halo ganteng (anti LGBT),androgalaxuy
92,"Kaya di sexualize banget gl tu, atau semua gendre film lgbt ya? Hadeeeh.",Feb1218
93,Kalo saling ngokop itu apakah aku dan temanku LGBT?,galanghefi
94,@JackPosobiec LGBT+G,AppldSymphonics
95,"Teringat bahawa pada zaman dahulu, Mahathir juga bertegas menyingkirkan orang Umno yang terpalit kes #liwat dan #LGBT.  Mujurlah kini (sejak dapat pengampunan diraja pada 2018), Anwar bertegas menghapuskan unsur LGBT dari bumi ini.  https://t.co/me0IaxWR81 https://t.co/woKnD8fuuw",uthayasb
96,@feeerdinio1907 lgbt,yassktm67
97,"@vozeou @TxtdariHI LGBT bukan kebebesan, tapi kebablasan BLOK",abiyasa69
98,@ainascnrrmt Nah itu makanya malah merembet ke greshan aina gue baca lewat2 TL yg foto itu anti LGBT tp masih suka baca AU greshan. Yg gue baca begitu sih makanya jd rame wkwk,pratiwiii___
99,"@SCrazy42631 @Haqiqatjou Kebiasaan kaum goblok, ngomongi ISIS jadi ke LGBT, kalau udah kalah debat cuma bisa ngehina 🤣 otak smooth mmg kayak gini, tolol",badebening
100,@badebening @Haqiqatjou Pro lgbt kali lu fakta banyak banget kaum sodom ditanah suci lu trus elu biarin aja trus elu suka minum air liur zionis,SCrazy42631
101,LGBT  Lee jihoon Gongseob Bum jae Taesoo ma,lariadawota
102,I hate LGBT without L😏  Mending standar ganda daripada standar FIFA 🌊,J__Thomasz
103,lgbt stand for lagi bete,caetarinablu
104,@PopBase Ban lgbt,onikayum
105,@sleepygore_ LGBT,transmasctoph
106,@zestromx LGBT  Liverpool Goblok Banget Tolol,_48DEE
107,"Tambahan dalam latest episod, ditunjukkan babak bts watak penulis skrip Ezad cuba meluruskan kefahaman produksi di sebalik tabir tentang beza khunsa dan LGBT yang mana norma masyarakat kita masih membakulsampahkan golongan ini dengan gerakan sesat LGBT.",hakiimIsmail95
108,@zestromx LGBT  Laksa Getuk Bakmie Teh tarik  Selamat berbuka,paranouns
109,"@adiwsz Harusnya ga usah disebutin abang fatahnya ka, kalau muslim pasti tahu tinggal berdekatan dengan pelaku LGBT seperti apa😫😫",noerah13
110,@WAVlNFLAG hbd sekali lagi lgbt,nortiekanojo
111,"Katanya Tidak Mengenal agama , tapi tindakan pemimpin negara itu lebih beragama dari negara agama , LGBT orang2 penyuka TELIS itu di masukan dalam daftar organisasi Extrimis , rusia emang keren !!!",kimi198021
112,@fikrishb01 straight people yg menolak campaign lgbt tuh bukan homopobic kak.. homophobic tuh buat mereka yg bener bener benci sama kaum lgbt sampai pengen ngebunuh gitu saking ga sukanya. padahal yg seharusnya dijauhi kan perbuatan maksiatnya bukan orangnya.,asweetnight
113,@userxyzz1 LGBT?,arenttalikh
114,Salah lgbt wbk,everfolkies
115,@SpieltagIndo Asal ga usah ngurusin kampanye LGBT dijamin gacor,Nauynaidrah_
116,@geouww sorry gw anti lgbt,lariadawota
117,@licamartinss Lgbt,DS_Leozin
118,when ada tweet panas pastu buka profile ada bendera lgbt tu nvm la cukup takyah panjang2. they're just pure dumb.,cmhaiman
119,Lgbt idiot emang teroris yg harus dibasmi,tukangrtweet17
120,LGBT  @Hamudrel https://t.co/VijalGD0Mg,LilyBlue53
121,@EdugamesP Da comu lgbt,LoFi_Cass
122,@lostondaisy em cok ben kucuk lgbt bayragim,perihobiss
123,"@Kerajaan_Israel @Tita83079013 @sil57376 Yee,, emang dasar otak udang gini,, tolol,, di jelasin ga ngerti2,, orang2 kayak kalian kan lebih sukanya free sex, lgbt, selingkuh, mabok2an,, makanya ngotot bgt jelek2in islam karena ajaran islam melarang itu semua",AnakBawang55
124,@SnoopHogg6969 @Truthtellerftm @BRICSinfo Begitu juga dengan LGBT,ibeukah
125,"@idextratime @bliblidotcom Yang satu mulangin pemain karena puasa, yg satu udah ga kampanye lgbt 🙂",FadlyPradana
