,full_text,username
411,Lgbt demlik yerine hetero hudapar,komplocu_kurd
412,Masih untung belom 100%. Krn Allah msh kasih waktu taubat... Otak LGBT sama pendukung istana itu ga ada bedanya...,NuhaAja1
413,@BLLRCHMD @pedoqpop Bodo sial bangsa lgbt ni. Haha,MinOthman
414,@Loh_Rudy @atsarisursula @tanyakanrl Wkwkwkwkw lihat pelangi otomatis langsung LGBT yah? Ya ampun! Inilah knpa pentingnya belajar membaca rambu sejak dini 💀 https://t.co/upE6kTLJcG,onchoithi
415,@gilabola_ina @TotalFootbol kek jerman ntar malah loyo ngurusin lgbt,sebelomhujan
416,@akie_stark Takyah rilek bangsa lgbt ni kita patut pijak je,piejoule
417,"@Matahari_tmr Ntar korban jadi pelaku saat besar, trus mereka kampanyekan anti LGBT karena dilarang agama?",INSNadi
418,"CW / LGBT/ 18! aku cewe dan mantanku cewe juga kita baru putus sebulanan yang lalu trs dia skrg udah punya pacar laki tapi dia bilang dan nangis"" ke aku buat ga pergi dari dia bahkan kita masi chattan kaya dulu cuma beda di status aja. gimana cara lepasnya ya? aku juga  (cont..)""",18fesss
419,@beniizer Pp manga bien lgbt bien gayy,toniolav
420,@rohta_julian 👍👍👍 LGBT penyakit yg merusak regenerasi manusia.  Slava Russia... https://t.co/SkK2BASIWn,esti_upay
421,"@akishibee @bukanwibudesu terus kenapa harus bawa bawa di lantik ? and aku liat2 juga komenan nya pada setuju sama Tweet diatas, kalo memang konteksnya lgbt kenapa ga sebut saja kaya saya langsung gitu loh lgbt"" gausah bawa bawa dilantik juga kan bisa, lgsg tdp""",kaenchwan
422,"@tempodotco kaum lgbt rata rata otaknya miring, pemikirannya udah diluar batas normal manusia, emg pantes dihilangkan di muka bumi seperti israel dan semua teroris",Jinaka10
423,"VLADIMIR PUTIN 🔥 TEGASKAN‼️ Jumat, 22 Maret 2024 🛑  Bahwa Gerakan LGBT‼️ Masuk Daftar Hitam Sbg Organisasi Teroris &amp  Ekstremis di Rusia 👊💥  Good Job #Russia 👍  ___ Qodari NasDem Prabowo BUMN Bea Cukai Moscow Papua BSI Mobile Mossad Gempa Anies Makarov https://t.co/tap3dgXrJD",rohta_julian
424,@neohistoria_id @OliLondonTV Emang LGBT itu suka fitnah ternyata,TempeMenjes12
425,@mitalovie Ayo gacha mit siapa kam kena dpt lampu lgbt,Tangerineboi1
426,@Just_dhee1203 harus klu perlu antar LGBT hrs bunuh 2an sampai habis🤣😆,alda_ra12
427,@karmsdesu List kan je kalau ade bg scene sekali kalau ade. Orang sentuh LGBT kau punya mengelitat kemain.,HabibKun4
428,"apalagi orang yang kau suka itu sekarang sedang membantu mempromosikan, mendorong,membantu kesetaraan pernikahan LGBT di thailand sana 🗿 jangan misalkan mereka heteroseks kalian merasa itu kemenangan buat kalian🤡 preferensi seksual itu nggak bisa dipaksakan dan KALAU memang",niky__23
429,@96mitchclarke Lgbt vermin,BlakeMatte76886
430,"mereka be like :  kita lebih senang freenbecky sama cowok atau menikah sama cowok""  PD amat mewakili pemikiran orang lain dengan klaim kayak gitu 🗿 padahal LOVE HAS NO GENDER.pola pikir heteronormatif nggak usah dibawa bawa ke artis representasi LGBT karena jujur AKU MUAK 🗿""",niky__23
431,@DeviRat41279 Dijual brp foto gituang ? Ke lgbt ?,Its_me_aditt
432,Jalannya lgbt bjil,SFT01KWINTER
433,@Lukewearechange LGBT,TelemaqueAlpha
434,@p7_angelo @SadateMunyakazi Kuganirizwa ni ngombwa kuko LGBT igizwe n'ibyiciro byinshi . Harimo abaganirizwa bakabivamo. Abatsimbaraye bakarwanywa,birashoboka7
435,Manager lgbt bodoh,_not_yourbaby_
436,@AbdulWa82444032 @PaijoKhentir Piye jal lgbt akeh nok eropa amerika tapi kok aman'' ae jarang longsor gempa banjir tsunami,jee_creepers
437,"Dr makluk2 LGBT bangsat macam oli london ini Islam disebarkan,  Gambaran mengerikan, barbar, antikristus terus menerus diblow up dan seolah menjadi sebuah kebenaran.  Faktanya ada keuntungan sedikitpun dr propaganda ini, jutru sebaliknya,   Bodohnya akun2 lokal menirunya.",dot_id_
438,"@RandomWorldWar jangkrik emang terorist pake embel embel agama tailah, russia support muslim , larang lgbt malah diserang kan tai tolol nih teroris",winyxzv
439,@SoftWarNews LGBT = Depopulasi = Teroris setuju !!! 🔥🔥,alterilust
440,"@kaenchwan @bukanwibudesu aduhh bukan gitu maksudnya, gimana ya jelasinnya😭🙏 kamu bilang kan bencana gda hubungannya sama politik kan ya? nah itu tuh sama kayak bencana yg gda hubungannya sm lgbt. dulu kan sering bgt tuh org2 nyangkutin lgbt sm bencana. nah kurleb begitu konteks tweet awal, myb.",akishibee
441,@mariio_val LGBT lelaki gemar beribadah tahajud,junedhidtler
442,@abdul_tweets03 @ThePossimpibleG Main madad karta hun bro 🤡 Lgbt ke flag ke aage kela 🍌 rakhdo...aadhi LGBT community offend ho jayegi 🤡💀,Slipped_In_Time
443,@minlixT__T @sagATEarius @WidasSatyo @krasivaluna suka lucu aja gtu sama org2 yg dlu suka nyalahin lgbt atas terjadinya bencana alam terus suka langsung nyalahin orang yang kena musibah dengan alasan kena azab  skrg giliran bencana alam dikaitin sama kemenangan satu capres kalian marah? atleast keep the same energy IJBOL,ngnttttt0777
444,@ajfemboi_ lgbt,nicohaiii
445,"@cii_MS @SoftWarNews Yaa klo ngikut kek rusia sjw² ham yg jadi penghambat, urusan di papua aja kaga kelar krn nih sjw²  aplgi urusan lgbt",dionwiyoko56
446,@Farughbulsara @Adhy83208097 @RandomWorldWar bbrpa thn lalu di amerika pelaku seorang LGBT ngebrondong sekolah kristen yg mana dia alumni sekolah itu,RFahmyYahya
447,@ruang_cerita99 Wkwk pokoknya bagi mereka hierarki dosa yang paling tinggi adalah LGBT 🤣 sama paling makan babi,bocahkartoffel
448,@SoftWarNews Indonesia kapan nih?!!.... Indonesia juga bisa lgbt itu manusia sakit dan tidak waras... Melebihi binatang...,azjhon7779
449,@SoftWarNews Gw pengen Presiden RI bersikap kayak gini ke LGBT,kamaloeby
450,Game sick🖕 Gila aja game lgbt begini buat umur 4 tahun https://t.co/Fee3JmHkUj,yeyebang
451,@hammingbirdfly @msaid_didu Serangan dari islamphobia dan kaum LGBT sangat massive terhadap PKS.,AlianisBgd
452,@SoftWarNews Kemungkinan itu Ukraina &amp  CIA secara russia baru netapin kalau islamphobia &amp  lgbt itu sebuah kejahatan,nddyyy13
453,@akishibee @bukanwibudesu ga ngerti apa hubungan lgbt sama di lantik,kaenchwan
454,"@Wint3r_Solstice @PatheNeuro Ka kalau novel bertema lgbt local, dari dulu aku sma juga udah ada (aku punya beberapa) cuma ga masive gitu, tapi kalau untuk inter/terjemahan aku kurang paham ka",DhullReo
455,"Ada bencana bukannya berempati tapi malah nyalah²in orang yg ga sepemikiran sama dia. Di bilang azab lah ini lah itu lah. Please introspeksi diri masing² aja. Buka mata banyak maksiat, zina di jalan², lgbt di biarkan bahkan di tiktok malah menjadi-jadi, fitnah, saling maki²",AllriseHyolatte
456,@Just_dhee1203 Mati saja LGBT biar di azab di Liang kubur....,Faisal97598880
457,"iya iya, kalo ada bencana alam trus si ndut dijadiin jokes sebagai penyebabnya gak boleh yaaa, karena ini semua gara-gara lgbt, gitu kan yg boleh???",tauapasysoal
458,"Karna lgbt tuh nular bro jd emg harus di beginiin. Gausa minta di manusiakan, kalo lu nya sndiri aja belum menghargai fitrah diri lu sndiri.",brizzhee
459,"@cii_MS @SoftWarNews ini bukan soal.muslim, karena dalam agama apapun LGBT itu haram hukum nya goblok",RifqiRamadhanP
460,LGBT,angierothar71
461,@Just_dhee1203 Saya bacanya: 100% kaum LGBT mengalami KEDUNGUAN AKUT PERKUTUT KALANG KABUT,PrakarsaWin
462,@crackity_04 @karmsdesu Kau nak padam benda yg tak elok gantikan dgn benda yg lagi tak elok?   Tapi aku setuju juga buat LGBT program ni. Tunjuk sekali fakta yg golongan LGBT adalah penghidap HIV tertinggi. Lepas tu tunjuk juga yg luar sana ramai gay yg sebenarnya pedophile. Yg ni aku setuju,AntiWoke176
463,"@Adhy83208097 @RandomWorldWar Hanya karena menururmu dalangnya US jadi dikatikan sama LGBT? Wkwk rada rada, dari semua alasan tbtb LGBT. Padahal gk semua warga US mendukung LGBT apalagi golongan konservatif.",Burung_pelajar
464,"‘Khunsa’ dituduh normalisasi budaya LGBT, Shahrulezad minta netizen hujah secara sihat.   #mstar240323  https://t.co/seRFOjfm8N",mstaronline
465,@janz1829 @tempodotco Kayaknya agama manapun nggak ada yg setuju dgn LGBT. Apalagi emang Rusia kan Ortodoks.,Evermore_q
466,@Le_Figaro LGBT+ !  🤣,WilliamHarison2
467,@CarloCalenda Che LGBT Q+GSTIJD-KKA la prendesseroin c...,Hulk764
468,Weruh lgbt langsung uncali granat,AlvianAresta
469,"mak gw crita ttg ank tmnnya di kampung yg ketauan ngw di kebun kelapa (cwo sm cwo) and proceed to say km kl pnya tmn hati hati, skrg lg marak lgbt lgbt gitu""  mom.. i have a baaaaaaaaaad news""",kentoswifey
470,@thesharktattooo tak suka? tak yah beli. orang lain nak makan ko yang sibuk. dasar lgbt bangang,pa11ie
471,"@18fesss tanya aja nder baik2, obrolin duluu dan kalimatnya jgn memojokkan atau menekan. mungkin bisa tanya pendapat dia ttg LGBT dulu, abis itu baru tanya lebih dalam. semoga yg terbaik buat kalian yaa",bobyeochin
472,@NCocinelle @Chris1Premier @michaelLaine90 @Livrenoirmedia LGBT. https://t.co/dVl6Aeovb3,carmouille28647
473,@SoftWarNews Donald trum juga menolak LGBT dan dia menyatakan bahwa hanya ada 2 gendre di amerika yaitu male or female,deakkai08689
474,@sultan_Twitz LGBT 🤦🏻‍♀️,Vis1976al
475,@Just_dhee1203 Lgbt itu kaum laknat gak ada tempat di bumi ini,sastro1000
476,@SoftWarNews BUNUH LGBT ANJING ITU DIMANA PUN BERADA,AMFTervaf
477,"@Just_dhee1203 Kalo perlu LGBT ini di musnahkan, Krn ini biang kehancuran bagi kehidupan manusia di bumi, yg sejatinya hidup berpasangan",MayuAlbi7554
478,@m1yuzhie foto selfie gae tulisann saya menolak lgbt,berjalankekiri
479,@Just_dhee1203 Semoga semua LGBT mendapat kekerasan agar kembali sadar bahwa perilakunya salah,ali334747
480,"Tai, apa2 disangkutin ke lgbt. Cocoklogi sampah.",CloudsDans
481,lgbt : lelaki gabut berusia tujuh puluh cewe tobrut : cewe tokyo berdomisili garut  sip😭,mariio_val
482,@moviemenfes Emg film disney yg ada unsur lgbt tuh sekarang apa ya?,sentaidude
483,"@mx00711 @Tita83079013 @agama_nusantara @BayuAngora @spektrumku @Valhallaah @PaijoKhentir @iam_zelt @helenr1903 @debbieflavi @Jelantik5 @Kappa_2023 @bnsphrxyzzz @RefublikAteis @Anatta_21 Ada bnrnya ayat ini kalo pakai ilmu fikih COCOKOLOGI dan MAKSIATOLOGI...contohnya sumbar, pan LGBT nya paling tinggi se Indonesia,makanya doyan banget gempa berkunjung ke sana.😫",sakkusaitna
484,"ibarat kau pergi pasar malam cina dia jual babi , kau marah dia kenapa tk guna kuali lain masak , dh la dgn bio lgbt eh blah jap",pianxtalib
485,"@mx00711 @sakkusaitna @Tita83079013 @agama_nusantara @BayuAngora @spektrumku @Valhallaah @PaijoKhentir @iam_zelt @helenr1903 @debbieflavi @Jelantik5 @Kappa_2023 @bnsphrxyzzz @RefublikAteis @Anatta_21 Makin dahsyat bencananya, makin banyak lgbt nya.",anfangerxyz
486,@SoftWarNews Lgbt itu seperti wabah penyakit inginnya menyebarkan.... Na'udzubillahi min dzalik,Helium1202
487,@histaemin ah bisa aja akal2an editor menghalangi rencana lgbt sensei,masodynamite
488,Hapana 😂😂😂 wa LGBT ni alasiri motors,RealEdwin_99
489,"@ruang_cerita99 Tapi kan konteks jaga jarak yang dia maksud itu di Aceh ga sih? Dan dosa gay sex emang lebih besar dari zina biasa, jadi masih masuk akal kalau dia double standard"" gitu. Banyak juga perbedaan festival LGBT dengan clubbing. Dosa terang²an lebih besar dari dosa sembunyi²-""",Alteristeid
490,"@bantalguling25_ @tanyakanrl Ini mah orang yang dulu viral karena ngaku Tobat Jadi LGBT, ternyata masih sama aja 🤣",Liansahlian
491,@lilaccountz Cuma perilaku menyimpang LGBT yg boleh pamer bahkan kampanye ke mana2  Kalau baca Qur'an gak boleh pamer  Gitu,ilatireng
492,"@mbembe72195 Iya juga ya, pokoknya kalau gempa juga salah lgbt😞",naoyatism
493,@tempodotco @TerongU72356816 Negeriku well come LGBT krn pejabatnya smua suka main belakang,baiki95
494,"@geeky_boo @moviemenfes Sebenernya karna di luar negeri lgbt udah lumrah, mungkin ada beberapa anak yg emang suka sejenis kak, tapi case-nya mungkin mencontoh, bukan karna dia 'berbeda' sejak lahir. Makanya itu, anak kecil belum disuguhi unsur lgbt karna masih polos.",oliiverrsky
495,"@PaijoKhentir LGBT  longsor, gempa, banjir dan tsunami karena.... silakan introspeksi https://t.co/epYhD3fRsB",AbdulWa82444032
496,@BLLRCHMD Bye bangga jadi lgbt,daniedaniellll
497,mcm tiber sgt bawah tu the main point is not abt lgbt pun tp sibuk nak kaitkan jugak 😐,jayongbok
498,"@xwitter__com @Matahari_tmr Sering koq. Akun ateis, Islamophobia, lgbt.",kakilangitimur
499,@tempodotco Bantai lgbt om putin Bawa penyakit si kaum laknat,achmadii93
500,Tak boleh makan takyah beli. Buat teruk la si pajeet lgbt gila ni bulan2 puasa mengundang maki,bukanchipmunk
501,"Rusia Buat Kelompok LGBT Ketar-Ketir, Putin Keluarkan Undang-Undang Ini https://t.co/Zc07CZpEvl",democrazymedia
