,title,type,release_year,age_certification,runtime,imdb_score,imdb_votes
145,Barney & Friends,1,1992,6,0.11914893617021277,0.28395061728395066,0.004386577865284006
146,Hollow Man,0,2000,4,0.4765957446808511,0.5308641975308642,0.05735351364887009
147,Godzilla,0,1998,3,0.5659574468085107,0.4814814814814815,0.08452075865313102
148,Neon Genesis Evangelion: The End of Evangelion,0,1997,11,0.3702127659574468,0.8024691358024691,0.02289529128420043
149,Spawn,0,1997,3,0.4085106382978724,0.45679012345679015,0.02987105224524453
150,Dennis the Menace,0,1993,2,0.4042553191489362,0.5061728395061728,0.0267929530838965
151,The Net,0,1995,3,0.48510638297872344,0.54320987654321,0.029150683578724527
152,The Devil's Own,0,1997,4,0.4553191489361702,0.5802469135802469,0.028488508709010298
153,Croupier,0,1998,4,0.4,0.6790123456790124,0.009424309047856903
154,Teenage Mutant Ninja Turtles III,0,1993,2,0.4085106382978724,0.3950617283950617,0.014602675239377097
155,The General's Daughter,0,1999,4,0.49361702127659574,0.6049382716049383,0.02588786319872785
156,The Next Karate Kid,0,1994,2,0.4553191489361702,0.37037037037037035,0.013284497569306828
157,I Still Know What You Did Last Summer,0,1998,4,0.425531914893617,0.3950617283950617,0.03229932067559471
158,Double Team,0,1997,4,0.39574468085106385,0.3950617283950617,0.015043096474293553
159,Under Suspicion,0,2000,4,0.46808510638297873,0.6172839506172839,0.011209800540761448
160,Moesha,1,1996,8,0.08936170212765958,0.5185185185185185,0.001634716655725939
161,"Sister, Sister",1,1994,8,0.09361702127659574,0.5802469135802469,0.005524002075578753
162,Cardcaptor Sakura,1,1998,10,0.10638297872340426,0.8024691358024691,0.0021738910003734103
163,Geronimo: An American Legend,0,1993,3,0.48936170212765956,0.6172839506172839,0.005070354977751895
164,The Mirror Has Two Faces,0,1996,3,0.5361702127659574,0.6296296296296295,0.008739650211194988
165,Girlfriends,1,2000,8,0.08936170212765958,0.7037037037037037,0.0019737396083292958
166,Knight Rider 2000,0,1991,0,0.3872340425531915,0.37037037037037035,0.0013988554338237337
167,The Last Days,0,1998,3,0.3702127659574468,0.7901234567901235,0.0018701370155311309
168,The Parkers,1,1999,8,0.08085106382978724,0.654320987654321,0.0010320581691085284
169,Heavy,0,1995,4,0.4468085106382979,0.654320987654321,0.0021672780689182083
170,Bill Hicks: Revelations,0,1993,11,0.3148936170212766,0.8641975308641975,0.0013578552588014812
171,Sankofa,0,1993,11,0.5276595744680851,0.6790123456790124,0.00029670019129006387
172,Dale's Supermarket Sweep,1,1993,6,0.08936170212765958,0.691358024691358,1.4989311298457908e-05
173,Jerry Seinfeld: I'm Telling You for the Last Time,0,1998,0,0.3191489361702128,0.7901234567901235,0.0025697851634915044
174,Children of God,0,1994,11,0.2680851063829787,0.6049382716049383,0.00025746346465586526
175,Wild Tango,0,1993,4,0.5276595744680851,0.6419753086419754,0.0006873040092439964
176,Kuch Kuch Hota Hai,0,1998,0,0.7872340425531915,0.7530864197530864,0.022763914379290415
177,Oggy and the Cockroaches,1,1999,10,0.03829787234042553,0.7283950617283951,0.0018428035655162957
178,H,1,1998,7,0.10638297872340426,0.7283950617283951,0.0007485838407288685
179,Herod's Law,0,1999,4,0.5106382978723404,0.7777777777777778,0.0026178391320659726
180,Tim Allen: Rewires America,0,1991,2,0.1276595744680851,0.54320987654321,8.376379843255891e-05
181,Heartbreak High,1,1994,7,0.2,0.7777777777777778,0.001367113362838764
182,Dil Se..,0,1998,3,0.6936170212765957,0.7407407407407407,0.012522247003570543
183,Aashik Aawara,0,1993,11,0.6510638297872341,0.3950617283950617,0.00013887156055924238
184,Destiny,0,1997,11,0.5787234042553192,0.691358024691358,0.0012432311135779795
185,Oh Darling! Yeh Hai India!,0,1995,0,0.6510638297872341,0.308641975308642,0.0007375622883035317
186,A Triumph of the Heart: The Ricky Bell Story,0,1991,11,0.425531914893617,0.7037037037037037,0.00010712948957427271
187,Bombay,0,1995,11,0.6,0.8148148148148148,0.005513862247347443
188,West Beirut,0,1998,3,0.4468085106382979,0.7530864197530864,0.0018383949445461613
189,Muthu,0,1995,0,0.7021276595744681,0.7530864197530864,0.0013450702579880906
190,Qila,0,1998,11,0.6808510638297872,0.40740740740740733,5.466690002967002e-05
191,Ram Jaane,0,1995,11,0.7319148936170213,0.4814814814814815,0.001717598729964471
192,Chamatkar,0,1992,0,0.7276595744680852,0.6172839506172839,0.0027306998289014202
193,Soldier,0,1998,11,0.6638297872340425,0.5802469135802469,0.0013314035329806732
194,Okupas,1,2000,7,0.1702127659574468,0.9259259259259259,0.001023240927168259
195,Hum Saath Saath Hain,0,1999,0,0.7531914893617021,0.5802469135802469,0.0037248438576667903
196,Kabhi Haan Kabhi Naa,0,1994,0,0.6723404255319149,0.7530864197530864,0.008032066545488372
197,Nightmare in Columbia County,0,1991,11,0.425531914893617,0.49382716049382713,0.0001481296645965252
198,Phir Bhi Dil Hai Hindustani,0,2000,3,0.6808510638297872,0.5679012345679012,0.0033289496945486962
199,Jeans,0,1998,11,0.7446808510638298,0.6049382716049383,0.0015703507895619727
200,Chaahat,0,1996,0,0.6595744680851064,0.49382716049382713,0.0012485214587421411
201,Hum Aapke Hain Koun..!,0,1994,11,0.8765957446808511,0.7407407407407407,0.00924972765743957
202,Maya Memsaab,0,1993,3,0.5361702127659574,0.4814814814814815,0.0009575524747132523
203,Out of Life,0,1991,11,0.4127659574468085,0.6666666666666667,0.00015871035492484844
204,Duplicate,0,1998,2,0.7021276595744681,0.49382716049382713,0.0033293905566457098
205,Govindha Govindha,0,1993,11,0.6170212765957447,0.6296296296296295,0.0001525382855666599
206,Damini,0,1993,11,0.7659574468085106,0.7777777777777778,0.0015364044080919356
207,English Babu Desi Mem,0,1996,2,0.7319148936170213,0.37037037037037035,0.0010214774787802052
208,Before the Flying Circus,0,2000,11,0.23404255319148937,0.7160493827160493,6.877448713410099e-05
209,Sam Kinison: Live in Vegas,0,1991,11,0.30638297872340425,0.6296296296296295,0.00011771017990259594
210,Anjaam,0,1994,11,0.6212765957446809,0.6296296296296295,0.0028479691467070026
211,Mann,0,1999,11,0.7404255319148936,0.5679012345679012,0.0023841822206488346
212,Monty Python: Live at Aspen,0,1998,11,0.24680851063829787,0.7777777777777778,0.0004792170994536396
213,Sinbad: Afros and Bellbottoms,0,1993,3,0.25106382978723407,0.7777777777777778,7.097879761916833e-05
214,The Other,0,1999,11,0.451063829787234,0.54320987654321,0.0004329265792672255
215,Sinbad: Son of a Preacher Man,0,1996,11,0.23829787234042554,0.6419753086419754,4.849483067148147e-05
216,Children of Shatila,0,1999,11,0.2127659574468085,0.8271604938271603,3.0419484693929288e-05
217,Gumrah,0,1993,11,0.6340425531914894,0.5679012345679012,0.0003434315735734915
218,The Emigrant,0,1994,11,0.548936170212766,0.6172839506172839,0.00043777606233437363
219,Yodha,0,1991,11,0.6042553191489362,0.37037037037037035,8.508638472359931e-05
220,Avvai Shanmugi,0,1996,3,0.6808510638297872,0.7901234567901235,0.0011122950707649795
221,Minsara Kanavu,0,1997,0,0.6170212765957447,0.6419753086419754,0.0005321205510952558
222,Chronicle of a Disappearance,0,1996,11,0.37446808510638296,0.6666666666666667,0.00031433467517060263
223,Yaar Gaddar,0,1994,11,0.625531914893617,0.2592592592592593,6.03981072908451e-05
224,Sinbad: Nothin' but the Funk,0,1998,11,0.23404255319148937,0.5802469135802469,2.6451725820808077e-05
225,Dushmani,0,1995,11,0.6638297872340425,0.4320987654320988,0.00010712948957427271
226,Fiza,0,2000,11,0.723404255319149,0.5555555555555556,0.0018353089098670668
227,Hello Brother,0,1999,11,0.5574468085106383,0.382716049382716,0.001862642359881902
228,Shikari,0,1991,11,0.6893617021276596,0.54320987654321,2.6892587917821542e-05
229,Breaking Bad,1,2008,7,0.2042553191489362,0.9876543209876544,0.7616725955271014
230,The Walking Dead,1,2010,7,0.19574468085106383,0.8271604938271603,0.41666758512936874
231,The Staircase,1,2004,7,0.20851063829787234,0.7777777777777778,0.00948999750031191
232,Downton Abbey,1,2010,5,0.24680851063829787,0.8888888888888885,0.08717563020134612
233,Grey's Anatomy,1,2005,5,0.20851063829787234,0.7530864197530864,0.12944284289041535
234,The Great British Baking Show,1,2010,8,0.24255319148936172,0.8765432098765432,0.00421420078535174
235,Criminal Minds,1,2005,5,0.18723404255319148,0.8148148148148148,0.08340493668558993
236,NCIS,1,2003,5,0.18723404255319148,0.7777777777777778,0.062180953611167565
237,Community,1,2009,8,0.09787234042553192,0.8641975308641975,0.11134369035962444
238,Heartland,1,2007,8,0.18723404255319148,0.851851851851852,0.006938287682797958
239,Supernatural,1,2005,5,0.19148936170212766,0.8641975308641975,0.18896848409127082
240,Forgetting Sarah Marshall,0,2008,4,0.4723404255319149,0.691358024691358,0.12349252716702457
241,War of the Worlds,0,2005,3,0.4978723404255319,0.6172839506172839,0.1935481595550467
242,Arrested Development,1,2003,7,0.11914893617021277,0.8888888888888885,0.13117719438006634
243,The IT Crowd,1,2006,5,0.10638297872340426,0.8641975308641975,0.06498483654817322
244,30 Rock,1,2006,5,0.10638297872340426,0.8395061728395062,0.05356871254600947
245,Avatar: The Last Airbender,1,2005,10,0.1021276595744681,0.9629629629629631,0.13108196816711143
246,Inception,0,2010,3,0.6297872340425532,0.9012345679012347,1.0
247,The Other Guys,0,2010,11,0.4553191489361702,0.6296296296296295,0.11595290358390024
248,How to Train Your Dragon,0,2010,2,0.41702127659574467,0.8148148148148148,0.317293741565757
249,Friday Night Lights,1,2006,5,0.18297872340425533,0.8888888888888885,0.028410916979935925
250,Casino Royale,0,2006,11,0.5914893617021276,0.8024691358024691,0.28406111583078475
251,Michael Clayton,0,2007,4,0.5106382978723404,0.7037037037037037,0.07224539442388803
252,My Little Pony: Friendship Is Magic,1,2010,10,0.09361702127659574,0.7530864197530864,0.009127167994469826
253,The Fairly OddParents,1,2001,10,0.1021276595744681,0.7037037037037037,0.016770835032489332
254,Jackass: The Movie,0,2002,4,0.37446808510638296,0.6296296296296295,0.04069157155434309
255,Sonic X,1,2003,10,0.08936170212765958,0.5679012345679012,0.0020156215075455754
256,DEATH NOTE,1,2006,5,0.1021276595744681,0.9259259259259259,0.13320295571584323
257,Zoolander,0,2001,3,0.3829787234042553,0.6172839506172839,0.11505178145760471
258,The Vampire Diaries,1,2009,5,0.17872340425531916,0.7654320987654322,0.13700715475097244
259,Charlie and the Chocolate Factory,0,2005,2,0.451063829787234,0.6296296296296295,0.20543732858730593
260,Cleaner,0,2007,4,0.37446808510638296,0.5679012345679012,0.01809606649611182
